,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,4851, 関浩哉 ,1,18.1%,91.3%,65.2%,21.7%,4.3%,0.14,3.20,,,,,,,,,,
,4851, 関浩哉 ,2,18.9%,70.8%,20.8%,33.3%,16.7%,0.13,3.40,,,,,,,,,,
,4851, 関浩哉 ,3,16.5%,57.1%,23.8%,4.8%,28.6%,0.15,3.30,,,,,,,,,,
,4851, 関浩哉 ,4,15.7%,70.0%,25.0%,15.0%,30.0%,0.14,3.30,,,,,,,,,,
,4851, 関浩哉 ,5,18.9%,70.8%,12.5%,41.7%,16.7%,0.13,3.40,,,,,,,,,,
,4851, 関浩哉 ,6,11.8%,40.0%,6.7%,6.7%,26.7%,0.13,3.10,,,,,,,,,,
,4530,小野生奈 ,1,26.4%,100.0%,85.3%,11.8%,2.9%,0.13,1.90,,,,,,,,,,
,4530,小野生奈 ,2,17.1%,86.4%,36.4%,36.4%,13.6%,0.16,2.80,,,,,,,,,,
,4530,小野生奈 ,3,14.7%,84.2%,15.8%,42.1%,26.3%,0.13,2.10,,,,,,,,,,
,4530,小野生奈 ,4,14.7%,52.6%,31.6%,15.8%,5.3%,0.15,2.90,,,,,,,,,,
,4530,小野生奈 ,5,14.0%,50.0%,27.8%,11.1%,11.1%,0.15,2.90,,,,,,,,,,
,4530,小野生奈 ,6,13.2%,52.9%,11.8%,23.5%,17.6%,0.18,3.80,,,,,,,,,,
,4573, 佐藤翼 ,1,20.7%,100.0%,83.3%,8.3%,8.3%,0.13,2.90,,,,,,,,,,
,4573, 佐藤翼 ,2,17.2%,70.0%,10.0%,30.0%,30.0%,0.14,2.80,,,,,,,,,,
,4573, 佐藤翼 ,3,15.5%,66.7%,22.2%,22.2%,22.2%,0.13,2.90,,,,,,,,,,
,4573, 佐藤翼 ,4,19.8%,52.2%,13.0%,17.4%,21.7%,0.14,2.90,,,,,,,,,,
,4573, 佐藤翼 ,5,16.4%,47.4%,5.3%,15.8%,26.3%,0.13,3.70,,,,,,,,,,
,4573, 佐藤翼 ,6,10.3%,58.3%,0.0%,25.0%,33.3%,0.16,3.60,,,,,,,,,,
,4719,上條暢嵩 ,1,22.2%,90.0%,83.3%,6.7%,0.0%,0.12,3.10,,,,,,,,,,
,4719,上條暢嵩 ,2,17.8%,87.5%,25.0%,50.0%,12.5%,0.12,3.30,,,,,,,,,,
,4719,上條暢嵩 ,3,15.6%,52.4%,33.3%,4.8%,14.3%,0.13,3.00,,,,,,,,,,
,4719,上條暢嵩 ,4,16.3%,45.5%,4.5%,9.1%,31.8%,0.14,3.80,,,,,,,,,,
,4719,上條暢嵩 ,5,15.6%,42.9%,23.8%,9.5%,9.5%,0.16,2.90,,,,,,,,,,
,4719,上條暢嵩 ,6,12.6%,47.1%,0.0%,23.5%,23.5%,0.12,3.30,,,,,,,,,,
,3897,白井英治 ,1,26.4%,85.7%,64.3%,10.7%,10.7%,0.14,3.30,,,,,,,,,,
,3897,白井英治 ,2,16.0%,64.7%,29.4%,17.6%,17.6%,0.15,3.20,,,,,,,,,,
,3897,白井英治 ,3,17.9%,78.9%,0.0%,47.4%,31.6%,0.12,2.60,,,,,,,,,,
,3897,白井英治 ,4,17.0%,66.7%,22.2%,33.3%,11.1%,0.13,2.70,,,,,,,,,,
,3897,白井英治 ,5,11.3%,50.0%,8.3%,8.3%,33.3%,0.11,2.60,,,,,,,,,,
,3897,白井英治 ,6,11.3%,8.3%,0.0%,0.0%,8.3%,0.17,4.60,,,,,,,,,,
,4524,深谷知博 ,1,21.8%,93.5%,83.9%,9.7%,0.0%,0.11,2.20,,,,,,,,,,
,4524,深谷知博 ,2,16.2%,65.2%,21.7%,30.4%,13.0%,0.12,3.00,,,,,,,,,,
,4524,深谷知博 ,3,17.6%,76.0%,4.0%,48.0%,24.0%,0.12,2.20,,,,,,,,,,
,4524,深谷知博 ,4,17.6%,72.0%,20.0%,28.0%,24.0%,0.15,2.60,,,,,,,,,,
,4524,深谷知博 ,5,16.9%,54.2%,0.0%,16.7%,37.5%,0.12,2.90,,,,,,,,,,
,4524,深谷知博 ,6,9.9%,35.7%,0.0%,0.0%,35.7%,0.12,2.90,,,,,,,,,,
,4266,長田頼宗 ,1,24.8%,93.5%,67.7%,22.6%,3.2%,0.12,2.50,,,,,,,,,,
,4266,長田頼宗 ,2,15.2%,63.2%,31.6%,21.1%,10.5%,0.14,3.00,,,,,,,,,,
,4266,長田頼宗 ,3,20.0%,84.0%,28.0%,36.0%,20.0%,0.14,2.60,,,,,,,,,,
,4266,長田頼宗 ,4,13.6%,52.9%,5.9%,35.3%,11.8%,0.15,3.70,,,,,,,,,,
,4266,長田頼宗 ,5,15.2%,52.6%,15.8%,21.1%,15.8%,0.15,3.70,,,,,,,,,,
,4266,長田頼宗 ,6,11.2%,28.6%,0.0%,7.1%,21.4%,0.17,3.80,,,,,,,,,,
,4427, 秦英悟 ,1,21.4%,96.0%,88.0%,8.0%,0.0%,0.12,2.50,,,,,,,,,,
,4427, 秦英悟 ,2,15.4%,61.1%,16.7%,33.3%,11.1%,0.13,2.90,,,,,,,,,,
,4427, 秦英悟 ,3,15.4%,77.8%,44.4%,16.7%,16.7%,0.13,2.60,,,,,,,,,,
,4427, 秦英悟 ,4,18.8%,72.7%,27.3%,31.8%,13.6%,0.17,3.40,,,,,,,,,,
,4427, 秦英悟 ,5,14.5%,64.7%,11.8%,23.5%,29.4%,0.14,2.80,,,,,,,,,,
,4427, 秦英悟 ,6,14.5%,41.2%,5.9%,11.8%,23.5%,0.14,3.40,,,,,,,,,,
,4907,小池修平 ,1,24.3%,94.6%,78.4%,13.5%,2.7%,0.13,2.30,,,,,,,,,,
,4907,小池修平 ,2,18.4%,71.4%,32.1%,21.4%,17.9%,0.14,3.40,,,,,,,,,,
,4907,小池修平 ,3,14.5%,72.7%,22.7%,36.4%,13.6%,0.14,3.30,,,,,,,,,,
,4907,小池修平 ,4,13.8%,71.4%,14.3%,42.9%,14.3%,0.11,2.50,,,,,,,,,,
,4907,小池修平 ,5,14.5%,68.2%,27.3%,18.2%,22.7%,0.12,2.90,,,,,,,,,,
,4907,小池修平 ,6,14.5%,59.1%,9.1%,18.2%,31.8%,0.16,3.40,,,,,,,,,,
,4908,上田龍星 ,1,25.2%,97.0%,84.8%,12.1%,0.0%,0.12,2.30,,,,,,,,,,
