,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260213,9,4,4146,5.86,39.22,60.78,5.03,30.3,48.48,26.74,47.67,1.0,2.0,3.0,,4.0,2.0,6.75,4,"¥1,100"
,20260213,9,5,4927,5.63,36.13,53.78,6.7,60.0,70.0,21.97,35.26,3.0,4.0,4.0,4.0,5.0,5.0,6.75,5,"¥1,100"
,20260213,9,6,4052,6.43,45.61,61.4,5.5,33.33,50.0,27.65,51.18,2.0,3.0,2.0,3.0,2.0,,6.75,6,"¥1,100"
,20260213,10,1,3711,6.0,41.22,60.31,0.0,0.0,0.0,27.91,41.28,,2.0,2.0,2.0,3.0,6.0,6.74,3,"¥6,270"
,20260213,10,2,4256,6.42,41.94,58.06,6.52,44.0,60.0,29.89,40.23,1.0,,3.0,1.0,2.0,2.0,6.74,5,"¥6,270"
,20260213,10,3,3834,4.17,16.88,35.06,3.75,25.0,25.0,41.28,59.88,6.0,6.0,,6.0,5.0,6.0,6.75,6,"¥6,270"
,20260213,10,4,4895,5.55,36.47,54.12,4.11,11.11,22.22,44.25,62.64,1.0,4.0,1.0,,5.0,,6.75,1,"¥6,270"
,20260213,10,5,5095,5.78,33.77,61.04,5.1,25.0,55.0,38.98,58.76,1.0,2.0,3.0,3.0,,3.5,6.71,2,"¥6,270"
,20260213,10,6,4049,6.14,36.11,61.11,5.18,40.91,40.91,38.76,54.49,1.0,5.0,2.5,4.0,6.0,,6.77,4,"¥6,270"
,20260213,11,1,4467,6.5,47.32,68.75,3.14,14.29,14.29,35.59,49.72,,3.0,4.0,4.5,6.0,5.0,6.78,2,"¥1,920"
,20260213,11,2,4063,6.12,43.41,60.47,6.93,53.57,71.43,32.16,51.46,1.0,2.0,2.0,3.0,4.0,2.0,6.79,1,"¥1,920"
,20260213,11,3,3769,5.17,25.0,54.55,0.0,0.0,0.0,33.14,53.49,4.0,3.0,,2.0,3.0,4.0,6.79,6,"¥1,920"
,20260213,11,4,3562,5.8,42.55,58.51,6.2,40.0,60.0,32.53,48.8,1.0,6.0,1.0,2.0,3.0,6.0,6.78,4,"¥1,920"
,20260213,11,5,4556,6.81,52.17,71.01,8.3,80.0,100.0,31.07,51.41,1.0,3.0,3.5,2.0,,2.0,6.77,3,"¥1,920"
,20260213,11,6,4635,5.13,36.11,47.22,4.2,30.0,35.0,42.53,60.92,1.0,2.0,1.0,6.0,3.0,,6.77,5,"¥1,920"
,20260213,12,1,3737,6.84,46.32,63.16,6.84,52.63,73.68,26.59,43.35,1.0,2.0,5.0,3.0,1.0,4.0,6.75,1,¥690
,20260213,12,2,4596,6.3,44.55,68.32,6.36,36.36,81.82,23.75,39.38,2.0,3.0,6.0,6.0,6.0,4.0,6.82,2,¥690
,20260213,12,3,4917,4.56,21.52,36.71,4.81,26.47,45.59,33.14,50.58,5.0,1.0,,3.0,2.0,5.0,6.76,6,¥690
,20260213,12,4,4600,6.32,47.78,65.56,5.51,33.33,56.41,35.63,57.47,1.0,6.0,4.0,2.5,2.0,,6.76,3,¥690
,20260213,12,5,4390,3.96,16.67,29.49,0.0,0.0,0.0,32.95,51.45,1.0,4.0,3.0,3.0,,6.0,6.75,4,¥690
,20260213,12,6,4155,6.09,43.02,59.3,5.11,33.33,55.56,40.23,53.45,1.0,1.5,3.0,1.0,2.0,,6.74,5,¥690
,20260215,1,1,4463,5.52,35.65,54.78,6.03,43.33,63.33,29.31,43.68,2.0,4.0,3.5,4.0,4.5,6.0,6.82,1,¥480
,20260215,1,2,5004,4.94,25.97,46.75,6.0,0.0,100.0,31.98,47.67,1.0,2.0,5.0,4.0,4.0,4.0,6.81,2,¥480
,20260215,1,3,4600,6.32,47.78,65.56,5.51,33.33,56.41,35.63,57.47,1.0,6.0,4.0,2.75,2.0,,6.86,3,¥480
,20260215,1,4,3690,4.58,26.09,40.22,0.0,0.0,0.0,31.61,48.28,1.0,4.0,5.0,5.0,6.0,6.0,6.86,4,¥480
,20260215,1,5,5204,4.57,14.29,42.86,3.05,9.09,22.73,38.64,57.95,4.0,4.0,4.0,5.0,6.0,5.5,6.85,6,¥480
,20260215,1,6,4390,3.96,16.67,29.49,0.0,0.0,0.0,32.95,51.45,1.0,4.0,4.5,3.0,2.5,6.0,6.82,5,¥480
,20260215,2,1,4146,5.86,39.22,60.78,5.03,30.3,48.48,26.74,47.67,1.0,3.5,3.0,4.0,4.0,4.0,6.79,1,"¥1,320"
,20260215,2,2,3562,5.8,42.55,58.51,6.2,40.0,60.0,32.53,48.8,1.0,6.0,1.0,3.0,3.0,5.5,6.80,2,"¥1,320"
,20260215,2,3,4917,4.56,21.52,36.71,4.81,26.47,45.59,33.14,50.58,4.5,1.0,6.0,3.0,3.0,5.0,6.78,4,"¥1,320"
